VM5248:1 coord_Warszawa, Województwo mazowieckie, Poland {"lat":52.2333742,"lng":21.0711489,"city":"Warszawa","state":"Województwo mazowieckie","country":"Poland"}
VM5248:1 coord_Los Angeles, CA, USA {"lat":34.0536909,"lng":-118.242766,"city":"Los Angeles","state":"CA","country":"USA"}
VM5248:1 coord_Colorado Springs, CO, USA {"lat":38.8339578,"lng":-104.825348,"city":"Colorado Springs","state":"CO","country":"USA"}
VM5248:1 coord_Mogadore, OH, USA {"lat":41.050775,"lng":-81.393946,"city":"Mogadore","state":"OH","country":"USA"}
VM5248:1 coord_Lineville, AL, USA {"lat":33.3106696,"lng":-85.7544051,"city":"Lineville","state":"AL","country":"USA"}
VM5248:1 coord_Lake Morton-Berrydale, WA, USA {"lat":47.3300505,"lng":-122.1014808,"city":"Lake Morton-Berrydale","state":"WA","country":"USA"}
VM5248:1 coord_Pierce County, Washington {"lat":47.0022547,"lng":-122.2117983,"state":"Washington","county":"Pierce County"}
VM5248:1 coord_Brentwood, CA, USA {"lat":37.9317766,"lng":-121.696026,"city":"Brentwood","state":"CA","country":"USA"}
VM5248:1 coord_Mesa, AZ, USA {"lat":33.4151005,"lng":-111.831455,"city":"Mesa","state":"AZ","country":"USA"}
VM5248:1 coord_Alexandria Governorate, Egypt {"lat":30.9432983,"lng":29.765645,"state":"Alexandria Governorate","country":"Egypt"}
VM5248:1 coord_Olympia, WA, USA {"lat":47.0451022,"lng":-122.8950075,"city":"Olympia","state":"WA","country":"USA"}
VM5248:1 coord_Zephyrhills, FL, USA {"lat":28.2336196,"lng":-82.1811947,"city":"Zephyrhills","state":"FL","country":"USA"}
VM5248:1 coord_Lyons, MI, USA {"lat":42.9819773,"lng":-84.9469455,"city":"Lyons","state":"MI","country":"USA"}
VM5248:1 coord_Boca Raton, FL, USA {"lat":26.3586885,"lng":-80.0830984,"city":"Boca Raton","state":"FL","country":"USA"}
VM5248:1 coord_Nathrop, CO, USA {"lat":38.7459275,"lng":-106.078549,"city":"Nathrop","state":"CO","country":"USA"}
VM5248:1 coord_Staunton, VA, USA {"lat":38.1495947,"lng":-79.072557,"city":"Staunton","state":"VA","country":"USA"}
VM5248:1 coord_Los Banos, CA, USA {"lat":37.0592253,"lng":-120.8505342,"city":"Los Banos","state":"CA","country":"USA"}
VM5248:1 coord_Bowling Green, KY, USA {"lat":36.9929203,"lng":-86.4428677,"city":"Bowling Green","state":"KY","country":"USA"}
VM5248:1 coord_Vergennes, VT, USA {"lat":44.1681052,"lng":-73.2518037,"city":"Vergennes","state":"VT","country":"USA"}
VM5248:1 coord_Port Jervis, NY, USA {"lat":41.3750937,"lng":-74.692663,"city":"Port Jervis","state":"NY","country":"USA"}
VM5248:1 coord_Franklin, IN, USA {"lat":39.4149034,"lng":-85.0563234,"city":"Franklin","state":"IN","country":"USA"}
VM5248:1 coord_Spokane, WA, USA {"lat":47.6571934,"lng":-117.42351,"city":"Spokane","state":"WA","country":"USA"}
VM5248:1 coord_Aurora, CO, USA {"lat":39.7405111,"lng":-104.830994,"city":"Aurora","state":"CO","country":"USA"}
VM5248:1 coord_Hampton Bays, NY, USA {"lat":40.8695775,"lng":-72.524362,"city":"Hampton Bays","state":"NY","country":"USA"}
VM5248:1 coord_Paducah, KY, USA {"lat":37.0833893,"lng":-88.6000478,"city":"Paducah","state":"KY","country":"USA"}
VM5248:1 coord_Allen Park, MI, USA {"lat":42.2595071,"lng":-83.2107671,"city":"Allen Park","state":"MI","country":"USA"}
VM5248:1 coord_Lumberton, TX, USA {"lat":30.2655322,"lng":-94.1991444,"city":"Lumberton","state":"TX","country":"USA"}
VM5248:1 coord_Snohomish, WA, USA {"lat":48.0074736,"lng":-121.7304882,"city":"Snohomish","state":"WA","country":"USA"}
VM5248:1 coord_Fort Green, FL, USA {"lat":27.6125348,"lng":-81.9434182,"city":"Fort Green","state":"FL","country":"USA"}
VM5248:1 coord_Lowestoft, England, United Kingdom {"lat":52.4766308,"lng":1.7537638,"city":"Lowestoft","state":"England","country":"United Kingdom"}
VM5248:1 coord_Pahrump, NV, USA {"lat":36.2087301,"lng":-115.984614,"city":"Pahrump","state":"NV","country":"USA"}
VM5248:1 coord_Gainesville, FL, USA {"lat":29.6519684,"lng":-82.3249846,"city":"Gainesville","state":"FL","country":"USA"}
VM5248:1 coord_Oconto, WI, USA {"lat":44.9988053,"lng":-88.2480072,"city":"Oconto","state":"WI","country":"USA"}
VM5248:1 coord_Norton, NB, Canada {"lat":45.6363366,"lng":-65.6952297,"city":"Norton","state":"NB","country":"Canada"}
VM5248:1 coord_Clearfield, PA, USA {"lat":40.9908706,"lng":-78.4457422,"city":"Clearfield","state":"PA","country":"USA"}
VM5248:1 coord_Alabaster, AL, USA {"lat":33.2442813,"lng":-86.8163773,"city":"Alabaster","state":"AL","country":"USA"}
VM5248:1 coord_Fairfax, VA, USA {"lat":38.8462236,"lng":-77.3063733,"city":"Fairfax","state":"VA","country":"USA"}
VM5248:1 coord_Yarra Junction, Victoria, Australia {"lat":-37.7821693,"lng":145.6150255,"city":"Yarra Junction","state":"Victoria","country":"Australia"}
VM5248:1 coord_Lone Pine, CA, USA {"lat":36.583176,"lng":-118.0783381,"city":"Lone Pine","state":"CA","country":"USA"}
VM5248:1 coord_Swindon, England, United Kingdom {"lat":51.5615327,"lng":-1.7854322,"city":"Swindon","state":"England","country":"United Kingdom"}
VM5248:1 tasks []
VM5248:1 coord_Clearwater, FL, USA {"lat":27.9658533,"lng":-82.8001026,"city":"Clearwater","state":"FL","country":"USA"}
VM5248:1 coord_Chicago, IL, USA {"lat":41.8755616,"lng":-87.6244212,"city":"Chicago","state":"IL","country":"USA"}
VM5248:1 coord_Tokeland, WA, USA {"lat":46.7073149,"lng":-123.9800916,"city":"Tokeland","state":"WA","country":"USA"}
VM5248:1 coord_Canonsburg, PA, USA {"lat":40.2588431,"lng":-80.186732,"city":"Canonsburg","state":"PA","country":"USA"}
VM5248:1 coord_Texas City, TX, USA {"lat":29.396013,"lng":-94.9175485,"city":"Texas City","state":"TX","country":"USA"}
VM5248:1 coord_Pittsburgh, PA, USA {"lat":40.4416941,"lng":-79.9900861,"city":"Pittsburgh","state":"PA","country":"USA"}
VM5248:1 coord_Bir Jdid, Casablanca-Settat, Morocco {"lat":33.3508565,"lng":-7.99686,"city":"Bir Jdid","state":"Casablanca-Settat","country":"Morocco"}
VM5248:1 coord_Redmond, WA, USA {"lat":47.6694141,"lng":-122.1238767,"city":"Redmond","state":"WA","country":"USA"}
VM5248:1 coord_Austin, TX, USA {"lat":30.2711286,"lng":-97.7436995,"city":"Austin","state":"TX","country":"USA"}
VM5248:1 coord_Sterling Heights, MI, USA {"lat":42.5803122,"lng":-83.0302033,"city":"Sterling Heights","state":"MI","country":"USA"}
VM5248:1 coord_Alexander, AR, USA {"lat":34.6295373,"lng":-92.4412674,"city":"Alexander","state":"AR","country":"USA"}
VM5248:1 coord_Deering, NH, USA {"lat":43.073402,"lng":-71.845093,"city":"Deering","state":"NH","country":"USA"}
VM5248:1 coord_Birmingham, England, United Kingdom {"lat":52.4796992,"lng":-1.9026911,"city":"Birmingham","state":"England","country":"United Kingdom"}
VM5248:1 coord_Marana, AZ, USA {"lat":32.4483736,"lng":-111.211475,"city":"Marana","state":"AZ","country":"USA"}
VM5248:1 coord_Wheatland, MO, USA {"lat":37.9461438,"lng":-93.401034,"city":"Wheatland","state":"MO","country":"USA"}
VM5248:1 coord_Sant Antoni de Portmany, Illes Balears, Spain {"lat":38.9830568,"lng":1.3009485,"city":"Sant Antoni de Portmany","state":"Illes Balears","country":"Spain"}
VM5248:1 coord_Stanfield, NC, USA {"lat":35.2334772,"lng":-80.4270094,"city":"Stanfield","state":"NC","country":"USA"}
VM5248:1 coord_Buena Park, CA, USA {"lat":33.870413,"lng":-117.9962165,"city":"Buena Park","state":"CA","country":"USA"}
VM5248:1 coord_Wheat Ridge, CO, USA {"lat":39.766098,"lng":-105.0772063,"city":"Wheat Ridge","state":"CO","country":"USA"}
VM5248:1 coord_Wrightsville Beach, NC, USA {"lat":34.2079917,"lng":-77.7955907,"city":"Wrightsville Beach","state":"NC","country":"USA"}
VM5248:1 coord_Bowmanville, ON, Canada {"lat":43.9122995,"lng":-78.6891675,"city":"Bowmanville","state":"ON","country":"Canada"}
VM5248:1 coord_Bartlesville, OK, USA {"lat":36.7509272,"lng":-95.9771779,"city":"Bartlesville","state":"OK","country":"USA"}
VM5248:1 coord_Easton, CT, USA {"lat":41.2528738,"lng":-73.2973394,"city":"Easton","state":"CT","country":"USA"}
VM5248:1 coord_Weesp, North Holland, Netherlands {"lat":52.3072593,"lng":5.0420822,"city":"Weesp","state":"North Holland","country":"Netherlands"}
VM5248:1 coord_Honolulu, HI, USA {"lat":21.304547,"lng":-157.855676,"city":"Honolulu","state":"HI","country":"USA"}
VM5248:1 coord_Ossipee, NH, USA {"lat":43.7550521,"lng":-71.1528533,"city":"Ossipee","state":"NH","country":"USA"}
VM5248:1 coord_Doole, TX, USA {"lat":31.3932817,"lng":-99.5988752,"city":"Doole","state":"TX","country":"USA"}
VM5248:1 coord_Olsztyn, Województwo warmińsko-mazurskie, Poland {"lat":53.776644,"lng":20.4777531,"city":"Olsztyn","state":"Województwo warmińsko-mazurskie","country":"Poland"}
VM5248:1 coord_Seoul, CT, South Korea {"lat":37.5666791,"lng":126.9782914,"city":"Seoul","state":"CT","country":"South Korea"}
VM5248:1 coord_Golconda, IL, USA {"lat":37.3672744,"lng":-88.4864316,"city":"Golconda","state":"IL","country":"USA"}
VM5248:1 coord_Murray, ID, USA {"lat":47.6271499,"lng":-115.8584985,"city":"Murray","state":"ID","country":"USA"}
VM5248:1 coord_Eastover, NC, USA {"lat":35.099219,"lng":-78.7882955,"city":"Eastover","state":"NC","country":"USA"}
VM5248:1 coord_Northglenn, CO, USA {"lat":39.9100858,"lng":-104.987552,"city":"Northglenn","state":"CO","country":"USA"}
VM5248:1 coord_Cicero, NY, USA {"lat":43.1756235,"lng":-76.1193678,"city":"Cicero","state":"NY","country":"USA"}
VM5248:1 coord_Goworowo, Masovian Voivodeship, Poland {"lat":52.9006864,"lng":21.5570366,"city":"Goworowo","state":"Masovian Voivodeship","country":"Poland"}
VM5248:1 coord_South Padre Island, TX, USA {"lat":26.1036887,"lng":-97.1646938,"city":"South Padre Island","state":"TX","country":"USA"}
VM5248:1 coord_Holly Hill, SC, USA {"lat":33.3226624,"lng":-80.4137038,"city":"Holly Hill","state":"SC","country":"USA"}
VM5248:1 coord_Wyrzysk, Greater Poland Voivodeship, Poland {"lat":53.1569822,"lng":17.2627004,"city":"Wyrzysk","state":"Greater Poland Voivodeship","country":"Poland"}
VM5248:1 coord_Eddyville, KY, USA {"lat":37.0944971,"lng":-88.080301,"city":"Eddyville","state":"KY","country":"USA"}
VM5248:1 coord_Tbilisi, Tbilisi, Georgia {"lat":41.7170674,"lng":44.7213757,"city":"Tbilisi","state":"Tbilisi","country":"Georgia"}
VM5248:1 coord_Perrysburg, OH, USA {"lat":41.5571178,"lng":-83.6279321,"city":"Perrysburg","state":"OH","country":"USA"}
VM5248:1 coord_Saint-Michel, QC, Canada {"lat":45.5597489,"lng":-73.5999622,"city":"Saint-Michel","state":"QC","country":"Canada"}
VM5248:1 coord_Palma, Illes Balears, Spain {"lat":39.5695818,"lng":2.6500745,"city":"Palma","state":"Illes Balears","country":"Spain"}
VM5248:1 coord_Richland, WA, USA {"lat":46.2804298,"lng":-119.275205,"city":"Richland","state":"WA","country":"USA"}
VM5248:1 coord_Leamington, ON, Canada {"lat":42.0531385,"lng":-82.5997722,"city":"Leamington","state":"ON","country":"Canada"}
VM5248:1 coord_Headland, AL, USA {"lat":31.351284,"lng":-85.3421559,"city":"Headland","state":"AL","country":"USA"}
VM5248:1 coord_Batala, Punjab, India {"lat":31.8193025,"lng":75.1999941,"city":"Batala","state":"Punjab","country":"India"}
VM5248:1 coord_Halifax, NS, Canada {"lat":44.648618,"lng":-63.5859487,"city":"Halifax","state":"NS","country":"Canada"}
VM5248:1 coord_Thessaly, Greece {"lat":39.5755929,"lng":22.1634449,"state":"Thessaly","country":"Greece"}
VM5248:1 coord_Chatham, England, United Kingdom {"lat":51.3819167,"lng":0.526559,"city":"Chatham","state":"England","country":"United Kingdom"}
VM5248:1 coord_Tallahassee, FL, USA {"lat":30.4380832,"lng":-84.2809332,"city":"Tallahassee","state":"FL","country":"USA"}
VM5248:1 coord_Dana Point, CA, USA {"lat":33.4669721,"lng":-117.6981075,"city":"Dana Point","state":"CA","country":"USA"}
VM5248:1 coord_Driggs, ID, USA {"lat":43.7231753,"lng":-111.110887,"city":"Driggs","state":"ID","country":"USA"}
VM5248:1 coord_Brothers, OR, USA {"lat":43.8137417,"lng":-120.6033306,"city":"Brothers","state":"OR","country":"USA"}
VM5248:1 coord_Toronto, ON, Canada {"lat":43.6534817,"lng":-79.3839347,"city":"Toronto","state":"ON","country":"Canada"}
VM5248:1 coord_Baldwin, WI, USA {"lat":44.9667546,"lng":-92.3732461,"city":"Baldwin","state":"WI","country":"USA"}
VM5248:1 coord_Bethlehem, PA, USA {"lat":40.6178915,"lng":-75.3786521,"city":"Bethlehem","state":"PA","country":"USA"}
VM5248:1 coord_Topeka, KS, USA {"lat":39.049011,"lng":-95.677556,"city":"Topeka","state":"KS","country":"USA"}
VM5248:1 coord_Long Beach, CA, USA {"lat":33.7690164,"lng":-118.191604,"city":"Long Beach","state":"CA","country":"USA"}
VM5248:1 coord_Gig Harbor, WA, USA {"lat":47.3259697,"lng":-122.5878659,"city":"Gig Harbor","state":"WA","country":"USA"}
VM5248:1 coord_Ottawa, ON, Canada {"lat":45.4208777,"lng":-75.6901106,"city":"Ottawa","state":"ON","country":"Canada"}
VM5248:1 coord_Buena Vista, CO, USA {"lat":38.8422178,"lng":-106.1311288,"city":"Buena Vista","state":"CO","country":"USA"}
VM5248:1 coord_Ellicottville, NY, USA {"lat":42.2751873,"lng":-78.6727799,"city":"Ellicottville","state":"NY","country":"USA"}
VM5248:1 coord_Wolfe City, TX, USA {"lat":33.3686687,"lng":-96.0712987,"city":"Wolfe City","state":"TX","country":"USA"}
VM5248:1 coord_Davao City, Davao Region, Philippines {"lat":7.0648306,"lng":125.6080623,"city":"Davao City","state":"Davao Region","country":"Philippines"}
VM5248:1 coord_Lansing, MI, USA {"lat":42.7338254,"lng":-84.5546295,"city":"Lansing","state":"MI","country":"USA"}
VM5248:1 coord_Sunrise, FL, USA {"lat":26.1666888,"lng":-80.2787573,"city":"Sunrise","state":"FL","country":"USA"}
VM5248:1 coord_North Salem, NY, USA {"lat":41.3348169,"lng":-73.5712374,"city":"North Salem","state":"NY","country":"USA"}
VM5248:1 coord_Shelburne, ON, Canada {"lat":44.078473,"lng":-80.203431,"city":"Shelburne","state":"ON","country":"Canada"}
VM5248:1 coord_West Lafayette, OH, USA {"lat":40.2753487,"lng":-81.7509601,"city":"West Lafayette","state":"OH","country":"USA"}
VM5248:1 coord_København, Denmark {"lat":55.6867243,"lng":12.5700724,"city":"København","country":"Denmark"}
VM5248:1 coord_Praha, Prague, Czech Republic {"lat":50.0596288,"lng":14.4464593,"city":"Praha","state":"Prague","country":"Czech Republic"}
VM5248:1 coord_Milford, CT, USA {"lat":41.2222218,"lng":-73.0570603,"city":"Milford","state":"CT","country":"USA"}
VM5248:1 coord_Loughton, England, United Kingdom {"lat":51.6467058,"lng":0.0544098,"city":"Loughton","state":"England","country":"United Kingdom"}
VM5248:1 coord_Fairfield, CA, USA {"lat":38.2493581,"lng":-122.039966,"city":"Fairfield","state":"CA","country":"USA"}
VM5248:1 coord_Oil Springs, ON, Canada {"lat":42.7838172,"lng":-82.126915,"city":"Oil Springs","state":"ON","country":"Canada"}
VM5248:1 coord_Knoxville, TN, USA {"lat":35.9603948,"lng":-83.9210261,"city":"Knoxville","state":"TN","country":"USA"}
VM5248:1 coord_Ellicott City, MD, USA {"lat":39.2757359,"lng":-76.8317417,"city":"Ellicott City","state":"MD","country":"USA"}
VM5248:1 coord_Albion, ID, USA {"lat":42.4126885,"lng":-113.578063,"city":"Albion","state":"ID","country":"USA"}
VM5248:1 coord_Lexington, KY, USA {"lat":38.0464066,"lng":-84.4970393,"city":"Lexington","state":"KY","country":"USA"}
VM5248:1 coord_West Jordan, UT, USA {"lat":40.6061337,"lng":-111.9395211,"city":"West Jordan","state":"UT","country":"USA"}
VM5248:1 coord_CO, USA {"lat":38.7251776,"lng":-105.607716,"state":"CO","country":"USA"}
VM5248:1 coord_Dayton, OR, USA {"lat":45.2206945,"lng":-123.076141,"city":"Dayton","state":"OR","country":"USA"}
VM5248:1 coord_Nottingham, NH, USA {"lat":43.115019,"lng":-71.100082,"city":"Nottingham","state":"NH","country":"USA"}
VM5248:1 coord_Anaheim, CA, USA {"lat":33.8347516,"lng":-117.911732,"city":"Anaheim","state":"CA","country":"USA"}
VM5248:1 coord_Karaj, Alborz Province, Iran {"lat":35.8224892,"lng":50.9904681,"city":"Karaj","state":"Alborz Province","country":"Iran"}
VM5248:1 coord_Easton, MA, USA {"lat":42.0245442,"lng":-71.1286594,"city":"Easton","state":"MA","country":"USA"}
VM5248:1 coord_Tabuk, Tabuk Province, Saudi Arabia {"lat":28.4012536,"lng":36.567049,"city":"Tabuk","state":"Tabuk Province","country":"Saudi Arabia"}
VM5248:1 coord_Califon, NJ, USA {"lat":40.7195448,"lng":-74.8357215,"city":"Califon","state":"NJ","country":"USA"}
VM5248:1 coord_Chipstead, England, United Kingdom {"lat":51.3093522,"lng":-0.1693688,"city":"Chipstead","state":"England","country":"United Kingdom"}
VM5248:1 coord_Talent, OR, USA {"lat":42.243808,"lng":-122.788924,"city":"Talent","state":"OR","country":"USA"}
VM5248:1 coord_Newburgh, NY, USA {"lat":41.5000767,"lng":-74.0098299,"city":"Newburgh","state":"NY","country":"USA"}
VM5248:1 coord_North Myrtle Beach, SC, USA {"lat":33.8278405,"lng":-78.6800323,"city":"North Myrtle Beach","state":"SC","country":"USA"}
VM5248:1 coord_Sioux Falls, SD, USA {"lat":43.5476008,"lng":-96.7293629,"city":"Sioux Falls","state":"SD","country":"USA"}
VM5248:1 coord_Bergen, NY, USA {"lat":43.0852666,"lng":-77.9418857,"city":"Bergen","state":"NY","country":"USA"}
VM5248:1 coord_Dewey Beach, DE, USA {"lat":38.691184,"lng":-75.0752724,"city":"Dewey Beach","state":"DE","country":"USA"}
VM5248:1 coord_Cranbourne West, Victoria, Australia {"lat":-38.102241,"lng":145.2517182,"city":"Cranbourne West","state":"Victoria","country":"Australia"}
VM5248:1 coord_Gates, NY, USA {"lat":43.1514226,"lng":-77.7130004,"city":"Gates","state":"NY","country":"USA"}
VM5248:1 coord_Andilana, Diana, Madagascar {"lat":-13.2543919,"lng":48.1888417,"city":"Andilana","state":"Diana","country":"Madagascar"}
VM5248:1 coord_İzmir, Türkiye {"lat":38.23166,"lng":27.02997,"state":"İzmir","country":"Türkiye"}
VM5248:1 coord_Březí, Jihomoravský kraj, Czechia {"lat":48.8200704,"lng":16.5654272,"city":"Březí","state":"Jihomoravský kraj","country":"Czechia"}
VM5248:1 coord_Quakertown, PA, USA {"lat":40.4417682,"lng":-75.3415667,"city":"Quakertown","state":"PA","country":"USA"}
VM5248:1 coord_Creede, CO, USA {"lat":37.8483224,"lng":-106.925476,"city":"Creede","state":"CO","country":"USA"}
VM5248:1 coord_Gainesville, GA, USA {"lat":34.2978794,"lng":-83.8240663,"city":"Gainesville","state":"GA","country":"USA"}
VM5248:1 coord_Johnston, IA, USA {"lat":41.6731523,"lng":-93.6973395,"city":"Johnston","state":"IA","country":"USA"}
VM5248:1 coord_Sidi Kacem, Rabat-Salé-Kénitra, Morocco {"lat":34.2309805,"lng":-5.7188349,"city":"Sidi Kacem","state":"Rabat-Salé-Kénitra","country":"Morocco"}
VM5248:1 coord_Alpine County, California {"lat":38.5893934,"lng":-119.8345013,"state":"California","county":"Alpine County"}
VM5248:1 coord_Phoenix, AZ, USA {"lat":33.4484367,"lng":-112.074141,"city":"Phoenix","state":"AZ","country":"USA"}
VM5248:1 coord_Drain, OR, USA {"lat":43.6587309,"lng":-123.318698,"city":"Drain","state":"OR","country":"USA"}
VM5248:1 coord_Newport, England, United Kingdom {"lat":50.7003707,"lng":-1.2952039,"city":"Newport","state":"England","country":"United Kingdom"}
VM5248:1 coord_Malinao, Bicol, Philippines {"lat":13.3974574,"lng":123.7049776,"city":"Malinao","state":"Bicol","country":"Philippines"}
